source_imageid,destination_imageid,distance
7,508,0.42
7,1992,0.54
7,2252,0.59
7,2033,0.62
7,1946,0.65
7,1500,0.66
7,1779,0.66
7,2320,0.67
7,2254,0.67
7,1714,0.67
7,1738,0.69
7,1309,0.69
7,1697,0.7
7,2008,0.7
7,638,0.71
7,1233,0.72
7,1856,0.73
7,764,0.74
7,1486,0.74
7,1615,0.74
7,1803,0.76
7,1909,0.76
7,2111,0.76
7,994,0.76
10,656,0.85
10,203,0.88
10,1138,0.93
10,2072,0.99
10,689,0.99
10,2326,0.99
10,208,1.06
10,1838,1.06
10,1471,1.06
10,2336,1.07
10,331,1.08
10,2069,1.09
10,1271,1.1
10,660,1.12
10,482,1.12
10,614,1.12
10,1979,1.13
10,2071,1.16
10,1312,1.16
10,1963,1.17
10,575,1.18
10,1658,1.19
10,2251,1.21
10,1874,1.21
12,1236,0.86
12,1466,0.88
12,463,0.9
12,1539,0.91
12,644,0.97
12,459,0.98
12,849,1.0
12,2017,1.01
12,1312,1.02
12,464,1.02
12,1848,1.03
12,1694,1.04
12,1805,1.04
12,2350,1.05
12,505,1.05
12,2052,1.08
12,298,1.09
12,337,1.09
12,1471,1.1
12,139,1.1
12,494,1.1
12,466,1.11
12,2284,1.12
12,147,1.13
13,182,0.17
13,271,0.54
13,318,0.56
13,140,0.57
13,712,0.58
13,757,0.75
13,332,0.84
13,1612,0.86
13,1568,0.87
13,706,0.92
13,521,0.94
13,264,0.94
13,327,0.96
13,20,0.96
13,1215,0.97
13,1054,0.98
13,925,0.99
13,485,0.99
13,2206,1.0
13,2111,1.0
13,2172,1.0
13,1638,1.0
13,196,1.01
13,469,1.01
14,1755,0.77
14,2241,0.83
14,2331,0.85
14,1148,0.85
14,1947,0.85
14,950,0.85
14,969,0.85
14,764,0.87
14,1507,0.87
14,2178,0.89
14,1845,0.9
14,956,0.9
14,2141,0.91
14,679,0.91
14,274,0.91
14,604,0.91
14,2257,0.91
14,242,0.91
14,396,0.91
14,1988,0.91
14,2220,0.91
14,2226,0.91
14,2018,0.91
14,2358,0.92
20,318,0.62
20,271,0.7
20,1827,0.78
20,712,0.82
20,485,0.88
20,757,0.9
20,182,0.9
20,846,0.92
20,1202,0.93
20,13,0.96
20,441,0.96
20,272,0.97
20,1951,1.01
20,1732,1.01
20,1637,1.01
20,1444,1.02
20,1649,1.02
20,2313,1.04
20,327,1.04
20,1304,1.04
20,1277,1.04
20,264,1.05
20,925,1.07
20,1568,1.08
26,714,0.32
26,367,0.42
26,631,0.46
26,692,0.48
26,661,0.53
26,248,0.64
26,1655,0.65
26,681,0.7
26,2192,0.71
26,1215,0.74
26,1317,0.74
26,1318,0.74
26,151,0.77
26,418,0.77
26,1856,0.78
26,1434,0.78
26,1068,0.78
26,819,0.8
26,1005,0.8
26,2327,0.81
26,299,0.82
26,1439,0.82
26,917,0.82
26,112,0.83
30,1471,0.55
30,200,0.69
30,2326,0.75
30,1831,0.76
30,416,0.82
30,1727,0.83
30,186,0.84
30,890,0.85
30,1004,0.85
30,1638,0.86
30,589,0.86
30,891,0.86
30,802,0.87
30,102,0.87
30,466,0.87
30,469,0.89
30,2206,0.89
30,2025,0.9
30,1105,0.9
30,327,0.91
30,824,0.92
30,1196,0.92
30,1839,0.92
30,2174,0.93
45,1012,0.52
45,1611,0.75
45,1716,0.78
45,1726,0.82
45,196,0.83
45,982,0.84
45,1206,0.84
45,802,0.89
45,1945,0.9
45,328,0.9
45,535,0.91
45,253,0.91
45,759,0.92
45,951,0.93
45,327,0.94
45,697,0.95
45,881,0.95
45,352,0.95
45,655,0.96
45,298,0.97
45,337,0.97
45,290,0.97
45,861,0.99
45,1839,0.99
70,917,0.71
70,1716,0.82
70,104,0.84
70,2175,0.84
70,2337,0.85
70,1215,0.88
