source_imageid,destination_imageid,distance
7,1992,10.23
7,2252,10.58
7,2320,13.46
7,2211,14.36
10,1271,26.95
10,2326,27.65
10,464,27.99
12,697,13.31
12,2074,13.36
12,298,14.34
12,2350,14.81
12,1848,15.71
12,639,16.5
13,318,8.49
13,140,10.44
13,661,12.9
13,454,13.57
13,1681,15.59
13,327,15.83
13,1808,16.47
13,2172,17.0
14,2111,12.42
14,1845,12.44
14,1777,12.89
14,470,12.94
20,757,16.88
20,90,17.58
20,712,18.59
20,152,19.51
20,332,19.66
26,1223,18.3
26,1317,20.5
26,1318,20.5
26,112,20.69
26,773,20.9
26,1215,20.98
30,412,25.01
30,253,25.1
30,200,25.96
30,917,26.0
30,861,26.9
30,1004,27.47
30,327,27.76
45,1831,19.79
45,1611,20.71
45,802,20.92
45,1012,21.05
45,241,22.1
45,773,22.34
45,1215,22.62
45,1716,22.68
45,290,22.7
45,298,23.03
45,337,23.39
70,1611,13.47
70,1716,17.46
70,1012,17.91
70,1839,18.26
70,2339,18.48
70,1655,18.91
70,142,19.46
70,2337,19.52
82,1570,16.72
82,264,20.3
82,2181,20.59
82,2313,20.87
82,938,21.07
82,2230,22.63
82,1810,22.99
84,1324,13.51
84,1687,14.7
84,1686,14.72
84,914,15.61
90,152,8.62
90,1140,11.06
90,313,11.33
90,148,14.16
90,1488,14.17
98,2351,12.25
98,1488,13.54
98,152,14.06
98,1186,14.15
98,412,14.98
98,1757,15.27
98,142,15.57
98,639,15.69
98,1126,15.7
98,1400,15.72
98,697,16.35
98,972,16.4
102,1839,16.45
102,90,18.46
102,1638,18.53
104,1517,14.49
104,327,17.97
104,279,18.08
107,984,5.22
107,864,7.92
107,884,9.09
107,494,9.5
107,352,10.16
107,364,10.32
107,1488,12.22
108,2313,17.84
108,2181,19.24
108,1612,19.79
108,191,21.84
108,848,21.97
108,1808,22.51
108,655,22.83
112,681,9.85
112,2033,12.12
112,2322,14.82
122,148,12.89
122,298,13.26
122,697,13.93
122,337,14.89
122,364,16.41
122,2033,16.62
122,2138,17.08
122,875,17.37
122,313,17.66
125,149,8.38
125,443,14.37
125,631,14.93
125,714,15.6
125,322,15.95
125,1655,16.52
125,1517,18.04
125,1672,18.35
125,327,18.37
125,234,18.38
125,697,18.95
125,692,19.04
126,2254,9.97
126,1845,11.79
126,249,12.14
126,638,12.97
126,2176,13.55
126,1045,13.56
126,1751,13.57
126,1849,15.92
126,1285,16.6
126,407,16.84
126,2170,16.97
127,934,25.47
127,498,27.04
127,1324,28.17
139,299,17.67
139,1570,17.84
139,1186,18.36
139,802,18.46
139,1488,18.46
139,1750,18.56
139,697,18.81
140,13,10.44
140,1681,12.44
140,2172,15.36
140,318,15.77
140,314,16.02
140,271,18.73
140,1215,18.85
140,1932,18.88
140,2181,18.88
142,697,7.75
142,2262,11.82
142,1133,11.92
142,188,12.78
142,1488,12.86
142,364,13.35
142,1757,14.35
142,148,14.45
147,464,17.23
147,533,17.81
147,921,18.07
147,217,18.18
147,497,18.42
147,188,18.54
147,1969,18.6
148,1757,11.65
148,1307,12.6
148,313,13.01
148,697,13.39
148,2125,13.96
148,142,14.45
149,125,8.38
149,714,16.88
149,631,17.05
149,1312,18.7
149,1068,20.38
149,1655,20.8
149,692,21.21
151,875,15.98
151,1517,16.3
151,1266,16.78
151,604,18.14
151,1655,20.86
151,298,21.06
151,1434,22.03
151,148,22.12
152,90,8.62
152,1302,9.75
152,1488,10.04
152,364,10.59
152,313,11.38
152,639,11.72
152,697,11.85
152,142,12.15
152,692,12.7
152,2351,12.72
152,1140,12.96
152,1126,13.14
152,148,13.19
157,1452,11.78
157,2365,12.62
157,2105,13.14
157,2007,14.36
157,2241,14.43
157,1922,15.48
157,2255,15.96
161,1585,19.07
161,2033,19.89
161,1430,21.6
161,324,21.73
161,2152,22.71
165,963,13.39
165,817,13.45
165,948,13.49
165,1197,14.39
165,498,14.54
165,635,16.54
165,543,17.9
173,255,7.97
173,470,11.34
173,14,14.17
173,1777,14.21
173,2358,16.89
173,2177,17.33
174,290,14.55
174,1223,15.64
174,298,16.1
174,463,16.36
174,337,17.05
174,998,18.86
174,2337,19.07
174,773,19.11
175,455,22.46
175,961,26.6
175,938,26.99
175,751,27.51
175,540,27.51
175,214,27.54
175,928,27.79
175,620,27.86
175,1414,27.99
181,403,19.3
181,635,19.64
181,498,19.94
181,543,20.64
181,1509,21.34
181,1650,21.36
181,1324,21.37
181,1825,22.69
181,506,22.98
181,165,23.0
182,271,9.4
182,1808,14.03
182,2172,15.75
182,2313,16.81
182,1612,17.06
182,1054,18.62
182,1634,18.68
182,13,18.82
183,1278,11.86
183,1177,14.19
183,1199,14.57
183,1964,15.08
183,706,15.36
184,300,7.51
184,1233,14.93
184,407,16.53
184,1452,16.82
184,1148,18.17
184,2103,18.94
184,1947,19.09
184,1170,19.63
186,196,10.97
186,279,14.48
186,263,16.39
186,875,17.02
186,1727,17.92
186,466,19.1
186,416,20.73
186,1248,21.23
186,1726,22.12
187,2117,13.25
187,2324,14.09
187,14,14.32
187,2147,15.2
188,2133,12.01
188,697,12.2
188,1701,12.77
188,142,12.78
188,364,13.63
189,396,27.39
189,764,28.82
189,1947,29.06
189,1271,29.17
189,1148,29.3
189,1802,29.51
189,324,29.65
189,2220,29.96
189,1418,30.26
191,1725,16.15
191,13,17.26
194,2329,27.39
194,2066,29.57
194,1084,30.33
196,186,10.97
196,1184,14.47
196,263,14.53
196,1517,14.65
196,1726,14.85
196,1727,15.22
196,1638,17.39
196,416,17.81
196,1611,17.87
196,951,18.07
196,466,18.35
196,104,20.01
196,1491,20.14
197,1273,11.91
197,1420,13.31
197,390,13.37
197,677,14.33
198,273,20.33
198,344,21.33
200,327,13.91
200,253,14.76
200,861,15.04
200,416,15.7
200,441,17.34
200,1727,17.34
200,1491,17.57
200,986,19.69
203,208,3.98
203,207,12.35
203,656,14.35
207,203,12.35
207,849,14.93
207,313,15.71
208,203,3.98
208,207,8.73
208,656,12.65
208,2087,13.73
213,352,13.74
213,1005,15.36
213,2025,15.75
213,1749,16.46
214,751,13.13
214,1686,16.83
